Country ,Year ,COAL_TJ,NG_TJ,HDR_TJ,NUC_TJ,REN_TJ,BW_TJ,OIL_TJ,TES_TJ,CO2_MT,Income_Group,Region_Group,GDP_cap,Population,Income_Level
France ,2000,623261,1497468,233207,4529040,8157,450760,3442408,10784301,364.67,OECD,EU,45922.47894,60918661,H
France ,2001,522898,1572062,261440,4593556,8441,459065,3723275,11140737,368.21,OECD,EU,46454.87069,61364377,H
France ,2002,561609,1569393,211961,4764654,8957,445008,3637716,11199298,362.52,OECD,EU,46610.78206,61812142,H
France ,2003,595575,1646165,206467,4811672,9468,470357,3697326,11437030,368.28,OECD,EU,46730.97579,62249855,H
France ,2004,575260,1680930,208948,4889901,10225,481627,3736743,11583634,368.88,OECD,EU,47720.44134,62707588,H
France ,2005,592632,1717652,180500,4925770,14199,503351,3693903,11628007,371.71,OECD,EU,48257.46508,63180854,H
France ,2006,546577,1658899,197560,4911174,17888,466007,3655699,11453804,362.43,OECD,EU,49223.2472,63622342,H
France ,2007,565011,1611393,201563,4797054,24717,511330,3595523,11306591,353.57,OECD,EU,50157.78374,64016890,H
France ,2008,534279,1669912,223770,4793967,31513,571928,3499547,11324916,349.33,OECD,EU,50068.2969,64375116,H
France ,2009,465438,1610318,199780,4469847,39750,597876,3379901,10762910,336.2,OECD,EU,48404.96579,64706436,H
France ,2010,500830,1784320,220327,4674774,49750,655986,3224703,11110690,340.05,OECD,EU,49130.42293,65026211,H
France ,2011,472240,1548685,164677,4826048,69339,587564,3327635,10996188,326.49,OECD,EU,50085.68298,65340830,H
France ,2012,524467,1599994,215390,4640792,88004,654624,3227587,10950858,329.95,OECD,EU,49935.62691,65657659,H
France ,2013,554531,1625153,258913,4622014,97085,703867,3150252,11011815,330.67,OECD,EU,50066.53044,65997932,H
France ,2014,412217,1364700,229581,4761589,105801,659253,3126647,10659788,298.33,OECD,EU,50326.56786,66312067,H
France ,2015,390492,1467063,200002,4771939,126305,694404,3156457,10806662,304.04,OECD,EU,50682.89535,66548272,H
France ,2016,381486,1603077,219021,4398496,131172,743853,3050769,10527874,306.27,OECD,EU,50984.0753,66724104,H
France ,2017,415393,1611565,180004,4345735,150212,739610,3070668,10513187,310.67,OECD,EU,51895.56629,66918020,H
France ,2018,382343,1542181,234401,4504819,169992,746927,2951963,10532626,300.38,OECD,EU,52560.95362,67158348,H
France ,2019,306832,1571833,204888,4352853,198461,760482,2972436,10367785,293.79,OECD,EU,53448.55489,67382061,H
France ,2020,221854,1460982,225336,3859994,222389,703761,2593161,9287477,260.36,OECD,EU,49311.33339,67601110,H
France ,2021,355939,1549490,214617,4138486,219508,778368,2760189,10016597,290.55,OECD,EU,52517.33549,67842811,H
France ,2022,312050,1391184,163876,3215247,237415,774172,2691401,8785345,282.96,OECD,EU,53691.61749,68065015,H
Luxembourg,2000,4594,28107,444,0,89,2121,84422,119777,8.07,OECD,EU,113539.1036,436300,H
Luxembourg,2001,4943,31246,424,0,86,2507,89287,128493,8.69,OECD,EU,115644.7711,441525,H
Luxembourg,2002,3083,44666,359,0,91,2604,89971,140774,9.37,OECD,EU,118130.6825,446175,H
Luxembourg,2003,2369,45214,285,0,104,2714,97493,148179,9.85,OECD,EU,119760.7599,451630,H
Luxembourg,2004,3328,50068,374,0,182,3021,110802,167775,11.23,OECD,EU,123067.2206,458095,H
Luxembourg,2005,3248,49248,334,0,261,3856,114963,171910,11.49,OECD,EU,124207.7655,465158,H
Luxembourg,2006,3876,51513,400,0,297,4017,108589,168692,11.3,OECD,EU,129597.2749,472637,H
Luxembourg,2007,3280,48083,420,0,323,6023,104050,162179,10.7,OECD,EU,137945.972,479993,H
Luxembourg,2008,3136,45771,475,0,312,6263,104860,160817,10.64,OECD,EU,135095.3545,488650,H
Luxembourg,2009,2801,46576,381,0,330,5694,97781,153563,10.08,OECD,EU,128321.3181,497783,H
Luxembourg,2010,2745,50098,387,0,312,5989,102767,162298,10.66,OECD,EU,130738.3109,506953,H
Luxembourg,2011,2475,43218,226,0,370,6031,106525,158845,10.52,OECD,EU,129199.7852,518347,H
Luxembourg,2012,2295,44005,353,0,473,6294,103477,156897,10.32,OECD,EU,128215.0459,530946,H
Luxembourg,2013,2200,37258,429,0,632,6794,101428,148741,9.8,OECD,EU,129259.5527,543360,H
Luxembourg,2014,2180,35301,388,0,702,8144,95883,142598,9.28,OECD,EU,129560.1645,556319,H
Luxembourg,2015,2060,32193,357,0,820,8897,91690,136017,8.8,OECD,EU,129410.5532,569604,H
Luxembourg,2016,2132,29689,415,0,812,9402,89429,131879,8.49,OECD,EU,132956.1329,582014,H
Luxembourg,2017,1972,29020,308,0,1326,10926,91833,135385,8.64,OECD,EU,131472.1923,596336,H
Luxembourg,2018,1748,28622,334,0,1443,12057,96889,141093,8.95,OECD,EU,130533.0523,607950,H
Luxembourg,2019,1915,28640,384,0,1584,12979,98870,144372,9.11,OECD,EU,131728.0378,620001,H
Luxembourg,2020,1609,26011,329,0,1952,16138,77768,123807,7.47,OECD,EU,128372.4688,630419,H
Luxembourg,2021,1650,28043,384,0,1893,16320,82003,130293,7.86,OECD,EU,135501.6366,640064,H
Luxembourg,2022,1719,22022,230,0,2237,15918,71355,113481,6.75,OECD,EU,134629.2253,653103,H
Sweeden ,2000,102521,32482,282902,625265,7754,345988,568139,1965051,51.99,OECD,EU,47875.08447,8872109,H
Sweeden ,2001,115361,36647,284616,786643,9984,322868,578442,2134561,51.17,OECD,EU,48396.44801,8895960,H
Sweeden ,2002,118887,37295,238895,743029,11533,322357,670040,2142036,52.74,OECD,EU,49337.93398,8924958,H
Sweeden ,2003,111930,37189,192743,735436,12539,340459,639286,2069582,54,OECD,EU,50079.26442,8958229,H
Sweeden ,2004,123427,37027,216442,845301,13012,347672,622592,2205473,52.31,OECD,EU,51967.55219,8993531,H
Sweeden ,2005,109947,35279,262090,789567,14056,365057,597588,2173584,48.77,OECD,EU,53205.87867,9029572,H
Sweeden ,2006,112547,36921,222202,730658,14554,388829,564098,2069809,47.29,OECD,EU,55381.39569,9080505,H
Sweeden ,2007,112034,38122,238172,730570,16704,399339,541428,2076369,45.72,OECD,EU,56745.03826,9148092,H
Sweeden ,2008,101734,34604,248648,696970,19781,405271,566495,2073503,44.63,OECD,EU,55784.93135,9219637,H
Sweeden ,2009,80684,45615,237067,569160,22963,424410,496158,1876057,41.5,OECD,EU,52957.88474,9298515,H
Sweeden ,2010,104253,61375,239032,630850,29357,470891,582716,2118474,46.66,OECD,EU,55527.93981,9378126,H
Sweeden ,2011,104290,48509,239162,659727,38189,440064,575037,2104978,43.09,OECD,EU,56853.83716,9449213,H
